aar	Afar	afar	Danakil-Sprache
lin	Lingala	lingala	Lingala
lit	Lithuanian	lituanien	Litauisch
ltz	Luxembourgish; Letzeburgesch	luxembourgeois	Luxemburgisch
lub	Luba-Katanga	luba-katanga	Luba-Katanga-Sprache
lug	Ganda	ganda	Ganda-Sprache
mac	Macedonian	macédonien	Makedonisch
mah	Marshallese	marshall	Marschallesisch
mal	Malayalam	malayalam	Malayalam
mao	Maori	maori	Maori-Sprache
mar	Marathi	marathe	Marathi
may	Malay	malais	Malaiisch
mlg	Malagasy	malgache	Malagassi-Sprache
mlt	Maltese	maltais	Maltesisch
mon	Mongolian	mongol	Mongolisch
nau	Nauru	nauruan	Nauruanisch
nav	Navajo; Navaho	navaho	Navajo-Sprache
nbl	Ndebele, South; South Ndebele	ndébélé du Sud	Ndebele-Sprache <Transvaal>
nde	Ndebele, North; North Ndebele	ndébélé du Nord	Ndebele-Sprache <Simbabwe>
ndo	Ndonga	ndonga	Ndonga
nep	Nepali	népalais	Nepali
nno	Norwegian Nynorsk; Nynorsk, Norwegian	norvégien nynorsk; nynorsk, norvégien	Nynorsk
nob	Bokmål, Norwegian; Norwegian Bokmål	norvégien bokmål	Bokmål
nor	Norwegian	norvégien	Norwegisch
nya	Chichewa; Chewa; Nyanja	chichewa; chewa; nyanja	Nyanja-Sprache
oci	Occitan (post 1500); Provençal	occitan (après 1500); provençal	Okzitanisch
oji	Ojibwa	ojibwa	Ojibwa-Sprache
ori	Oriya	oriya	Oriya-Sprache
orm	Oromo	galla	Galla-Sprache
oss	Ossetian; Ossetic	ossète	Ossetisch
pan	Panjabi; Punjabi	pendjabi	Pandschabi-Sprache
per	Persian	persan	Persisch
pli	Pali	pali	Pāli
pol	Polish	polonais	Polnisch
por	Portuguese	portugais	Portugiesisch
pus	Pushto; Pashto	pachto	Paschtu
que	Quechua	quechua	Quechua-Sprache
roh	Romansh	romanche	Rätoromanisch
rum	Romanian; Moldavian; Moldovan	roumain; moldave	Rumänisch
run	Rundi	rundi	Rundi-Sprache
rus	Russian	russe	Russisch
sag	Sango	sango	Sango-Sprache
san	Sanskrit	sanskrit	Sanskrit
sin	Sinhala; Sinhalese	singhalais	Singhalesisch
slo	Slovak	slovaque	Slowakisch
slv	Slovenian	slovène	Slowenisch
sme	Northern Sami	sami du Nord	Nordsaamisch
smo	Samoan	samoan	Samoanisch
sna	Shona	shona	Schona-Sprache
snd	Sindhi	sindhi	Sindhi-Sprache
som	Somali	somali	Somali
sot	Sotho, Southern	sotho du Sud	Süd-Sotho-Sprache
spa	Spanish; Castilian	espagnol; castillan	Spanisch
srd	Sardinian	sarde	Sardisch
srp	Serbian	serbe	Serbisch
ssw	Swati	swati	Swasi-Sprache
sun	Sundanese	soundanais	Sundanesisch
swa	Swahili	swahili	Swahili
swe	Swedish	suédois	Schwedisch
tah	Tahitian	tahitien	Tahitisch
tam	Tamil	tamoul	Tamil
tat	Tatar	tatar	Tatarisch
tel	Telugu	télougou	Telugu-Sprache
tgk	Tajik	tadjik	Tadschikisch
tgl	Tagalog	tagalog	Tagalog
tha	Thai	thaï	Thailändisch
tib	Tibetan	tibétain	Tibetisch
tir	Tigrinya	tigrigna	Tigrinja-Sprache
ton	Tonga (Tonga Islands)	tongan (Îles Tonga)	Tongaisch
tsn	Tswana	tswana	Tswana-Sprache
tso	Tsonga	tsonga	Tsonga-Sprache
tuk	Turkmen	turkmène	Turkmenisch
tur	Turkish	turc	Türkisch
twi	Twi	twi	Twi-Sprache
uig	Uighur; Uyghur	ouïgour	Uigurisch
ukr	Ukrainian	ukrainien	Ukrainisch
urd	Urdu	ourdou	Urdu
uzb	Uzbek	ouszbek	Usbekisch
ven	Venda	venda	Venda-Sprache
vie	Vietnamese	vietnamien	Vietnamesisch
vol	Volapük	volapük	Volapük
wel	Welsh	gallois	Kymrisch
wln	Walloon	wallon	Wallonisch
wol	Wolof	wolof	Wolof-Sprache
xho	Xhosa	xhosa	Xhosa-Sprache
yid	Yiddish	yiddish	Jiddisch
yor	Yoruba	yoruba	Yoruba-Sprache
zha	Zhuang; Chuang	zhuang; chuang	Zhuang
zul	Zulu	zoulou	Zulu-Sprache
